epoch,shortterm,midterm,longterm
1619934339.241,3.190000,3.230000,3.290000
1619934354.241,3.150000,3.220000,3.290000
1619934369.241,3.110000,3.210000,3.280000
1619934384.241,3.310000,3.250000,3.290000
1619934399.241,3.240000,3.230000,3.290000
1619934414.241,3.190000,3.220000,3.280000
1619934429.241,3.290000,3.240000,3.290000
1619934444.241,3.570000,3.310000,3.310000
1619934459.241,3.450000,3.300000,3.300000
1619934474.241,3.350000,3.280000,3.300000
1619934489.241,3.270000,3.270000,3.290000
1619934504.241,3.280000,3.270000,3.290000
1619934519.241,3.300000,3.270000,3.290000
1619934534.241,3.230000,3.260000,3.280000
1619934549.241,3.250000,3.260000,3.280000
1619934564.241,3.260000,3.260000,3.280000
1619934579.241,3.280000,3.270000,3.280000
1619934594.241,3.290000,3.270000,3.280000
1619934609.241,4.190000,3.460000,3.340000
1619934624.241,3.930000,3.430000,3.340000
1619934639.241,3.720000,3.410000,3.330000
1619934654.241,3.560000,3.390000,3.330000
1619934669.241,3.510000,3.390000,3.330000
1619934684.241,3.400000,3.370000,3.320000
1619934699.241,3.460000,3.380000,3.330000
1619934714.241,3.350000,3.360000,3.320000
1619934729.241,3.340000,3.360000,3.320000
1619934744.241,3.430000,3.380000,3.320000
1619934759.241,3.470000,3.390000,3.330000
1619934774.241,3.370000,3.370000,3.320000
1619934789.241,3.360000,3.370000,3.320000
1619934804.241,3.360000,3.370000,3.320000
1619934819.241,3.280000,3.350000,3.320000
1619934834.241,3.300000,3.350000,3.320000
1619934849.241,3.230000,3.330000,3.310000
1619934864.241,3.180000,3.310000,3.310000
1619934879.241,3.140000,3.300000,3.300000
1619934894.241,3.180000,3.300000,3.300000
1619934909.241,3.200000,3.300000,3.300000
1619934924.241,3.230000,3.300000,3.300000
1619934939.241,3.260000,3.300000,3.300000
1619934954.241,3.360000,3.320000,3.310000
1619934969.241,3.500000,3.350000,3.320000
1619934984.241,3.390000,3.340000,3.310000
1619934999.241,3.380000,3.330000,3.310000
1619935014.241,3.300000,3.320000,3.310000
1619935029.241,3.300000,3.320000,3.310000
1619935044.241,3.230000,3.300000,3.300000
1619935059.241,3.250000,3.300000,3.300000
1619935074.241,3.280000,3.300000,3.300000
1619935089.241,3.220000,3.290000,3.290000
1619935104.241,3.240000,3.290000,3.290000
1619935119.241,3.190000,3.280000,3.290000
1619935134.241,3.300000,3.300000,3.290000
1619935149.241,3.230000,3.280000,3.290000
1619935164.241,3.180000,3.270000,3.280000
1619935179.241,3.210000,3.270000,3.280000
1619935194.242,3.250000,3.270000,3.280000
1619935209.241,3.260000,3.270000,3.280000
1619935224.241,3.290000,3.280000,3.280000
1619935239.241,3.220000,3.260000,3.280000
1619935254.241,3.170000,3.250000,3.270000
1619935269.241,3.210000,3.250000,3.270000
1619935284.241,3.230000,3.260000,3.270000
1619935299.241,3.180000,3.240000,3.270000
1619935314.241,3.220000,3.250000,3.270000
1619935329.241,3.310000,3.270000,3.280000
1619935344.241,3.240000,3.250000,3.270000
1619935359.241,3.270000,3.260000,3.270000
1619935374.241,3.270000,3.260000,3.270000
1619935389.241,3.210000,3.250000,3.270000
1619935404.241,3.160000,3.240000,3.260000
1619935419.241,3.210000,3.240000,3.270000
1619935434.241,3.240000,3.240000,3.270000
1619935449.241,3.410000,3.280000,3.280000
1619935464.241,3.390000,3.280000,3.280000
1619935479.241,3.300000,3.270000,3.270000
1619935494.241,3.230000,3.260000,3.270000
1619935509.241,3.400000,3.290000,3.280000
1619935524.241,3.310000,3.280000,3.270000
1619935539.241,3.240000,3.260000,3.270000
1619935554.241,3.180000,3.250000,3.270000
1619935569.241,3.370000,3.290000,3.280000
1619935584.241,3.370000,3.290000,3.280000
1619935599.241,3.350000,3.290000,3.280000
1619935614.241,3.280000,3.280000,3.270000
1619935629.241,3.290000,3.280000,3.270000
1619935644.241,3.230000,3.260000,3.270000
1619935659.241,3.340000,3.280000,3.280000
1619935674.241,3.260000,3.270000,3.270000
1619935689.241,3.410000,3.300000,3.280000
1619935704.241,3.400000,3.310000,3.280000
1619935719.241,3.380000,3.310000,3.280000
1619935734.241,3.370000,3.310000,3.280000
1619935749.241,3.290000,3.290000,3.280000
1619935764.241,3.300000,3.290000,3.280000
1619935779.241,3.320000,3.300000,3.280000
1619935794.241,3.320000,3.300000,3.280000
1619935809.241,3.250000,3.280000,3.270000
1619935824.241,3.340000,3.300000,3.280000
1619935839.241,3.260000,3.290000,3.270000
1619935854.241,3.370000,3.300000,3.280000
1619935869.241,3.430000,3.320000,3.280000
1619935884.241,3.340000,3.310000,3.280000
1619935899.241,3.340000,3.310000,3.280000
1619935914.241,3.270000,3.290000,3.270000
1619935929.241,3.290000,3.290000,3.270000
1619935944.241,3.490000,3.340000,3.290000
1619935959.241,3.380000,3.330000,3.280000
1619935974.241,3.300000,3.310000,3.280000
1619935989.241,3.370000,3.330000,3.280000
1619936004.241,3.360000,3.330000,3.280000
1619936019.241,3.280000,3.310000,3.280000
1619936034.241,3.280000,3.310000,3.280000
1619936049.241,3.420000,3.340000,3.290000
1619936064.241,3.470000,3.360000,3.290000
1619936079.241,3.370000,3.340000,3.290000
1619936094.241,3.370000,3.340000,3.290000
1619936109.241,3.280000,3.320000,3.280000
1619936124.241,3.290000,3.320000,3.280000
1619936139.241,3.310000,3.320000,3.280000
1619936154.241,3.310000,3.320000,3.280000
1619936169.241,3.320000,3.320000,3.280000
1619936184.241,3.250000,3.310000,3.280000
1619936199.241,3.190000,3.290000,3.270000
1619936214.241,3.460000,3.340000,3.290000
1619936229.241,3.430000,3.340000,3.290000
1619936244.241,3.420000,3.340000,3.290000
1619936259.241,3.320000,3.330000,3.280000
1619936274.241,3.400000,3.340000,3.290000
1619936289.241,3.380000,3.340000,3.290000
1619936304.241,3.300000,3.320000,3.280000
1619936319.241,3.230000,3.310000,3.280000
1619936334.241,3.250000,3.310000,3.280000
1619936349.241,3.190000,3.290000,3.270000
1619936364.241,3.150000,3.280000,3.270000
1619936379.241,3.360000,3.310000,3.280000
1619936394.241,3.360000,3.310000,3.280000
1619936409.241,3.280000,3.300000,3.270000
1619936424.241,3.220000,3.280000,3.270000
1619936439.241,3.170000,3.270000,3.260000
1619936454.241,3.200000,3.270000,3.270000
1619936469.241,3.160000,3.260000,3.260000
1619936484.241,3.120000,3.240000,3.260000
1619936499.241,3.240000,3.260000,3.260000
1619936514.241,3.180000,3.250000,3.260000
1619936529.241,3.290000,3.270000,3.270000
1619936544.241,3.370000,3.290000,3.270000
1619936559.241,3.360000,3.290000,3.270000
1619936574.241,3.350000,3.290000,3.270000
1619936589.241,3.270000,3.280000,3.270000
1619936604.241,3.360000,3.300000,3.270000
1619936619.241,3.280000,3.280000,3.270000
1619936634.241,3.290000,3.280000,3.270000
1619936649.241,3.220000,3.270000,3.270000
1619936664.241,3.240000,3.270000,3.270000
1619936679.241,3.190000,3.260000,3.260000
1619936694.241,3.230000,3.260000,3.270000
1619936709.241,3.390000,3.300000,3.280000
1619936724.241,3.300000,3.280000,3.270000
1619936739.241,3.240000,3.270000,3.270000
1619936754.241,3.400000,3.300000,3.280000
1619936769.241,3.310000,3.290000,3.270000
1619936784.241,3.240000,3.270000,3.270000
1619936799.241,3.190000,3.260000,3.260000
1619936814.241,3.150000,3.250000,3.260000
1619936829.241,3.550000,3.330000,3.290000
1619936844.241,3.500000,3.330000,3.290000
1619936859.241,3.390000,3.310000,3.280000
1619936874.241,3.300000,3.300000,3.280000
1619936889.241,3.240000,3.280000,3.270000
1619936904.241,3.400000,3.320000,3.280000
1619936919.241,3.460000,3.340000,3.290000
1619936934.241,3.360000,3.320000,3.280000
1619936949.241,3.360000,3.320000,3.280000
1619936964.241,3.280000,3.300000,3.280000
1619936979.241,3.220000,3.290000,3.270000
1619936994.241,3.170000,3.270000,3.270000
1619937009.241,3.350000,3.310000,3.280000
1619937024.241,3.270000,3.290000,3.270000
1619937039.241,3.210000,3.280000,3.270000
1619937054.241,3.160000,3.260000,3.260000
1619937069.241,3.260000,3.280000,3.270000
1619937084.241,3.200000,3.270000,3.270000
1619937099.241,3.240000,3.270000,3.270000
1619937114.241,3.400000,3.310000,3.280000
1619937129.241,3.470000,3.320000,3.280000
1619937144.241,3.580000,3.360000,3.300000
1619937159.241,3.600000,3.370000,3.300000
1619937174.241,3.610000,3.390000,3.310000
1619937189.241,3.630000,3.400000,3.310000
1619937204.241,3.870000,3.460000,3.340000
1619937219.241,3.900000,3.490000,3.350000
1619937234.241,3.840000,3.500000,3.350000
1619937249.241,3.880000,3.520000,3.360000
1619937264.241,3.830000,3.530000,3.370000
1619937279.241,4.030000,3.590000,3.390000
1619937294.241,5.290000,3.910000,3.500000
1619937309.241,4.930000,3.900000,3.500000
1619937324.241,4.580000,3.870000,3.500000
1619937339.241,4.310000,3.850000,3.500000
1619937354.241,4.020000,3.800000,3.490000
1619937369.241,3.790000,3.760000,3.480000
1619937384.241,3.620000,3.730000,3.470000
1619937399.241,3.560000,3.710000,3.470000
1619937414.241,3.600000,3.700000,3.470000
1619937429.241,3.460000,3.670000,3.460000
1619937444.241,3.360000,3.640000,3.450000
1619937459.241,3.430000,3.640000,3.460000
1619937474.241,3.340000,3.610000,3.450000
1619937489.241,3.340000,3.590000,3.450000
1619937504.241,3.430000,3.600000,3.450000
1619937519.241,3.400000,3.580000,3.450000
1619937534.241,3.390000,3.570000,3.450000
1619937549.241,3.300000,3.540000,3.440000
1619937564.241,3.320000,3.530000,3.440000
1619937579.241,3.310000,3.520000,3.440000
1619937594.241,3.320000,3.510000,3.440000
1619937609.241,3.250000,3.490000,3.430000
1619937624.241,3.350000,3.500000,3.430000
1619937639.241,3.340000,3.490000,3.430000
1619937654.241,3.350000,3.480000,3.430000
1619937669.241,3.270000,3.450000,3.420000
1619937684.241,3.210000,3.430000,3.420000
1619937699.241,3.230000,3.430000,3.410000
1619937714.241,3.250000,3.420000,3.410000
1619937729.241,3.190000,3.400000,3.410000
1619937744.241,3.230000,3.400000,3.400000
1619937759.241,3.180000,3.380000,3.400000
